epoch,d_loss,g_loss
506,1.096,3.3135
507,0.7847,3.5032
508,0.9536,3.62
509,0.7835,3.3176
510,0.6518,3.8277
511,0.8503,4.2317
512,0.8434,3.6445
513,0.7656,3.5604
514,0.5642,3.974
515,0.5434,4.6893
516,0.7466,4.1755
517,0.715,3.8819
518,0.687,4.3454
519,0.5951,4.4349
520,0.7026,4.7793
521,0.6145,4.4294
522,0.7191,4.3018
523,0.6286,4.2232
524,0.5787,4.296
525,0.5709,4.5042
526,0.5392,4.5819
527,0.8125,4.8365
528,0.7974,4.6005
529,0.6076,4.3455
530,0.5862,4.6147
531,0.5839,4.7614
532,0.5448,5.1908
533,0.5331,4.9022
534,0.4947,4.9915
535,0.492,5.1203
536,0.4784,4.8744
537,0.4783,5.0237
538,0.4814,5.0324
539,0.4651,5.7224
540,0.5839,5.4354
541,0.4686,5.7215
542,0.4793,5.2525
543,0.5307,5.3796
544,0.7976,5.2673
545,0.5978,5.2789
546,0.5204,5.465
547,0.4782,5.5115
548,0.464,5.633
549,0.4877,6.0444
550,0.5073,5.406
551,0.4841,5.6199
552,0.4556,5.6682
553,0.4516,6.0958
554,0.4928,5.5944
555,0.4214,6.1357
556,0.4426,6.0497
557,0.4674,6.1961
558,0.4558,5.7235
559,0.4623,6.0073
560,0.439,6.2047
561,0.4311,6.3344
562,0.4353,6.2928
563,0.4559,5.8979
564,0.4719,6.0827
565,0.4395,6.0934
566,0.4353,5.9254
567,0.4811,5.9562
568,0.4408,6.3169
569,0.4312,5.7182
570,0.4245,5.7088
571,0.4372,5.5923
572,0.4368,6.2346
573,0.4153,6.3368
574,0.4347,6.2116
575,0.4344,6.3651
576,0.4111,6.5651
577,0.4292,6.6079
578,0.4175,7.1233
579,0.4448,6.7298
580,0.4255,6.3664
581,0.522,5.1503
582,0.6071,4.6633
583,0.593,4.9448
584,1.1373,5.0219
585,0.6549,5.3572
586,0.6757,4.9439
587,1.2783,5.2218
588,0.7429,4.2103
589,0.6784,4.3271
590,0.949,4.8683
591,0.7145,4.0139
592,0.6172,4.2217
593,0.5077,4.3405
594,0.855,4.4459
595,0.9144,4.4171
596,0.6996,4.3026
597,0.6592,4.1383
598,0.6327,3.8622
599,0.7704,3.96
600,0.729,3.5534
601,0.8166,4.223
602,0.8392,3.9224
603,0.9144,4.4402
604,0.8608,4.1716
605,0.6717,4.024
606,0.8294,4.1382
607,0.7932,4.8247
608,0.6163,4.5619
609,0.696,4.0054
610,0.8994,3.61
611,0.764,3.7421
612,0.7189,3.4961
613,0.7974,3.8567
614,0.6663,4.0254
615,0.5669,4.4551
616,0.6789,4.0968
617,0.619,3.9941
618,0.598,4.3888
619,0.7382,3.9038
620,0.9097,3.7069
621,0.6928,3.6578
622,0.7767,3.8923
623,0.8379,3.5176
624,0.6982,3.9674
625,0.5565,4.1716
626,0.6575,4.0273
627,0.9214,3.3772
628,0.7496,4.0897
629,0.7362,3.8711
630,0.596,4.3886
631,0.6072,4.6013
632,0.5536,4.8049
633,0.5777,5.1539
634,0.5385,5.0385
635,0.4784,5.3041
636,0.4737,5.4915
637,0.4625,5.8615
638,0.4515,6.4
639,0.4395,5.666
640,0.4676,5.8878
641,0.4876,5.9059
642,0.4653,6.2573
643,0.4354,6.3513
644,0.4544,6.084
645,0.4222,6.6122
646,0.4202,6.7389
647,0.4322,6.3372
648,0.4368,6.1222
649,0.4369,5.8763
650,0.4463,5.9691
651,0.4179,6.2752
652,0.441,6.3315
653,0.4194,6.1854
654,0.4261,6.568
655,0.4411,6.3956
656,0.4309,6.3706
657,0.4194,6.4949
658,0.4035,6.4147
659,0.398,6.6494
660,0.4139,6.8356
661,0.397,6.7426
662,0.4037,6.8453
663,0.4039,6.3076
664,0.4075,5.3657
665,0.4207,5.9024
666,0.4236,5.8975
667,0.4587,5.9329
668,0.4104,6.48
669,0.4009,6.6179
670,0.3935,6.7279
671,0.4032,6.8819
672,0.4135,6.2739
673,0.3906,6.8682
674,0.3929,6.6242
675,0.3866,6.5192
676,0.3963,6.8322
677,0.3957,6.8133
678,0.3921,6.9826
679,0.3852,7.2184
680,0.3789,7.3453
681,0.3871,6.9863
682,0.3897,6.7248
683,0.3894,6.8
684,0.3755,7.1992
685,0.3806,7.0756
686,0.3939,7.3039
687,0.3921,7.1903
688,0.3916,7.1741
689,0.3799,7.1291
690,0.3773,7.1826
691,0.3794,7.2836
692,0.3758,7.5269
693,0.3892,7.3227
694,0.383,7.4023
695,0.3917,6.8776
696,0.3809,7.4843
697,0.3885,6.9035
698,0.3928,6.9883
699,0.3716,7.0705
700,0.3748,7.1854
701,0.3735,6.9839
702,0.3841,7.0968
703,0.3798,6.6528
704,0.3816,7.1607
705,0.3698,7.0307
706,0.3782,7.0156
707,0.3752,6.9429
708,0.402,6.4624
709,0.3773,6.6657
710,0.3705,7.0611
711,0.3748,6.8196
712,0.3723,7.2576
713,0.3694,6.7815
714,0.369,6.949
715,0.399,7.3793
716,0.3795,7.3036
717,0.3665,7.5214
718,0.3677,7.4846
719,0.371,7.3565
720,0.3756,7.1704
721,0.37,7.2438
722,0.3725,7.1521
723,0.3704,7.3431
724,0.3666,8.0031
725,0.3583,7.5281
726,0.3694,7.8411
727,0.3694,7.5918
